key,value
"dish:550e8400-e29b-41d4-a716-446655440101","{""id"":""550e8400-e29b-41d4-a716-446655440101"",""nameEn"":""Spring Rolls"",""nameZh"":""春卷"",""descriptionEn"":""Crispy fried spring rolls filled with vegetables and shrimp"",""descriptionZh"":""脆皮炸春卷，内馅是蔬菜和虾"",""ingredientsEn"":""Spring roll wrappers, shrimp, cabbage, carrots, mushrooms, soy sauce"",""ingredientsZh"":""春卷皮、虾、卷心菜、胡萝卜、蘑菇、酱油"",""price"":6.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440001"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1606080945470-343f7a360a1d?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440102","{""id"":""550e8400-e29b-41d4-a716-446655440102"",""nameEn"":""Mapo Tofu"",""nameZh"":""麻婆豆腐"",""descriptionEn"":""Spicy and numbing tofu dish with minced pork and Sichuan peppercorn sauce"",""descriptionZh"":""辛辣而麻木的豆腐菜，配肉末和四川花椒酱"",""ingredientsEn"":""Soft tofu, ground pork, Sichuan peppercorn, chili oil, garlic, ginger, soy sauce"",""ingredientsZh"":""嫩豆腐、肉末、四川花椒、辣油、大蒜、生姜、酱油"",""price"":10.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440002"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440103","{""id"":""550e8400-e29b-41d4-a716-446655440103"",""nameEn"":""Kung Pao Chicken"",""nameZh"":""宫保鸡丁"",""descriptionEn"":""Tender chicken cubes stir-fried with peanuts and dried chilies in a sweet and savory sauce"",""descriptionZh"":""嫩鸡丁与花生和干辣椒炒，配甜咸酱"",""ingredientsEn"":""Chicken breast, peanuts, dried red chilies, bell peppers, soy sauce, vinegar, sugar, garlic"",""ingredientsZh"":""鸡胸肉、花生、干红辣椒、青椒、酱油、醋、糖、大蒜"",""price"":12.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440002"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1626730488232-7dca56fdfc5e?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440104","{""id"":""550e8400-e29b-41d4-a716-446655440104"",""nameEn"":""Hot and Sour Soup"",""nameZh"":""酸辣汤"",""descriptionEn"":""Tangy and spicy soup with tofu, mushrooms, and bamboo shoots"",""descriptionZh"":""酸辣汤，配豆腐、蘑菇和竹笋"",""ingredientsEn"":""Tofu, mushrooms, bamboo shoots, wood ear fungus, chicken broth, rice vinegar, white pepper, chili oil"",""ingredientsZh"":""豆腐、蘑菇、竹笋、木耳、鸡汤、米醋、白胡椒、辣油"",""price"":5.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440003"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1547592166-23ac45744acd?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440105","{""id"":""550e8400-e29b-41d4-a716-446655440105"",""nameEn"":""Egg Drop Soup"",""nameZh"":""蛋花汤"",""descriptionEn"":""Silky smooth chicken broth with egg ribbons and green onions"",""descriptionZh"":""鸡汤配蛋花和绿葱"",""ingredientsEn"":""Chicken broth, eggs, cornstarch, green onions, salt, white pepper"",""ingredientsZh"":""鸡汤、鸡蛋、淀粉、绿葱、盐、白胡椒"",""price"":4.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440003"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1568084308-db1a60dcc9e6?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440106","{""id"":""550e8400-e29b-41d4-a716-446655440106"",""nameEn"":""Stir-fried Vegetables with Garlic"",""nameZh"":""蒜炒蔬菜"",""descriptionEn"":""Fresh mixed vegetables stir-fried with lots of garlic in a light soy sauce"",""descriptionZh"":""新鲜混合蔬菜与大蒜炒，配清淡酱油"",""ingredientsEn"":""Broccoli, snap peas, carrots, bell peppers, garlic, soy sauce, sesame oil, ginger"",""ingredientsZh"":""西兰花、豌豆荚、胡萝卜、青椒、大蒜、酱油、麻油、生姜"",""price"":7.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440004"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1609501676725-7186f017a4b5?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440107","{""id"":""550e8400-e29b-41d4-a716-446655440107"",""nameEn"":""Eggplant in Garlic Sauce"",""nameZh"":""蒜泥茄子"",""descriptionEn"":""Tender eggplant pieces coated in a rich garlic and spicy sauce"",""descriptionZh"":""嫩茄子块配蒜和辣酱"",""ingredientsEn"":""Eggplant, garlic, chili oil, soy sauce, vinegar, sesame oil, scallions"",""ingredientsZh"":""茄子、大蒜、辣油、酱油、醋、麻油、葱"",""price"":8.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440004"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1577000522272-dc53aaf41901?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440108","{""id"":""550e8400-e29b-41d4-a716-446655440108"",""nameEn"":""Fried Rice with Shrimp"",""nameZh"":""虾炒饭"",""descriptionEn"":""Fluffy jasmine rice stir-fried with shrimp, peas, carrots, and scrambled eggs"",""descriptionZh"":""蓬松的茉莉花米饭与虾、豌豆、胡萝卜和炒鸡蛋炒"",""ingredientsEn"":""Jasmine rice, shrimp, peas, carrots, eggs, soy sauce, sesame oil, garlic, green onions"",""ingredientsZh"":""茉莉花米、虾、豌豆、胡萝卜、鸡蛋、酱油、麻油、大蒜、葱"",""price"":11.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440005"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1585238341710-4b2f3c583de1?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440109","{""id"":""550e8400-e29b-41d4-a716-446655440109"",""nameEn"":""Chow Mein"",""nameZh"":""炒面"",""descriptionEn"":""Crispy noodles stir-fried with chicken, vegetables, and savory sauce"",""descriptionZh"":""脆面与鸡肉、蔬菜和咸味酱炒"",""ingredientsEn"":""Chow mein noodles, chicken, cabbage, carrots, bell peppers, soy sauce, garlic, sesame oil"",""ingredientsZh"":""炒面、鸡肉、卷心菜、胡萝卜、青椒、酱油、大蒜、麻油"",""price"":10.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440005"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1555939594-58d7cb561541?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
"dish:550e8400-e29b-41d4-a716-446655440110","{""id"":""550e8400-e29b-41d4-a716-446655440110"",""nameEn"":""Orange Chicken"",""nameZh"":""橙子鸡"",""descriptionEn"":""Crispy chicken in a tangy orange and ginger sauce with a hint of chili"",""descriptionZh"":""脆鸡配橙子和生姜酱，带一点辣椒"",""ingredientsEn"":""Chicken, orange juice, ginger, garlic, chili peppers, soy sauce, honey, sesame seeds"",""ingredientsZh"":""鸡肉、橙汁、生姜、大蒜、辣椒、酱油、蜂蜜、芝麻"",""price"":13.99,""categoryId"":""550e8400-e29b-41d4-a716-446655440002"",""available"":true,""photoUrl"":""https://images.unsplash.com/photo-1598103442097-8b74394b95c6?w=500"",""createdAt"":""2026-06-19T00:00:00Z""}"
