id	name_en	name_zh	description_en	description_zh	ingredients_en	ingredients_zh	price	category_id	available	photo_url	created_at
550e8400-e29b-41d4-a716-446655440101	Spring Rolls	春卷	Crispy fried spring rolls filled with vegetables and shrimp	脆皮炸春卷，内馅是蔬菜和虾	Spring roll wrappers, shrimp, cabbage, carrots, mushrooms, soy sauce	春卷皮、虾、卷心菜、胡萝卜、蘑菇、酱油	6.99	550e8400-e29b-41d4-a716-446655440001	true	https://images.unsplash.com/photo-1606080945470-343f7a360a1d?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440102	Mapo Tofu	麻婆豆腐	Spicy and numbing tofu dish with minced pork and Sichuan peppercorn sauce	辛辣而麻木的豆腐菜，配肉末和四川花椒酱	Soft tofu, ground pork, Sichuan peppercorn, chili oil, garlic, ginger, soy sauce	嫩豆腐、肉末、四川花椒、辣油、大蒜、生姜、酱油	10.99	550e8400-e29b-41d4-a716-446655440002	true	https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440103	Kung Pao Chicken	宫保鸡丁	Tender chicken cubes stir-fried with peanuts and dried chilies in a sweet and savory sauce	嫩鸡丁与花生和干辣椒炒，配甜咸酱	Chicken breast, peanuts, dried red chilies, bell peppers, soy sauce, vinegar, sugar, garlic	鸡胸肉、花生、干红辣椒、青椒、酱油、醋、糖、大蒜	12.99	550e8400-e29b-41d4-a716-446655440002	true	https://images.unsplash.com/photo-1626730488232-7dca56fdfc5e?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440104	Hot and Sour Soup	酸辣汤	Tangy and spicy soup with tofu, mushrooms, and bamboo shoots	酸辣汤，配豆腐、蘑菇和竹笋	Tofu, mushrooms, bamboo shoots, wood ear fungus, chicken broth, rice vinegar, white pepper, chili oil	豆腐、蘑菇、竹笋、木耳、鸡汤、米醋、白胡椒、辣油	5.99	550e8400-e29b-41d4-a716-446655440003	true	https://images.unsplash.com/photo-1547592166-23ac45744acd?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440105	Egg Drop Soup	蛋花汤	Silky smooth chicken broth with egg ribbons and green onions	鸡汤配蛋花和绿葱	Chicken broth, eggs, cornstarch, green onions, salt, white pepper	鸡汤、鸡蛋、淀粉、绿葱、盐、白胡椒	4.99	550e8400-e29b-41d4-a716-446655440003	true	https://images.unsplash.com/photo-1568084308-db1a60dcc9e6?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440106	Stir-fried Vegetables with Garlic	蒜炒蔬菜	Fresh mixed vegetables stir-fried with lots of garlic in a light soy sauce	新鲜混合蔬菜与大蒜炒，配清淡酱油	Broccoli, snap peas, carrots, bell peppers, garlic, soy sauce, sesame oil, ginger	西兰花、豌豆荚、胡萝卜、青椒、大蒜、酱油、麻油、生姜	7.99	550e8400-e29b-41d4-a716-446655440004	true	https://images.unsplash.com/photo-1609501676725-7186f017a4b5?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440107	Eggplant in Garlic Sauce	蒜泥茄子	Tender eggplant pieces coated in a rich garlic and spicy sauce	嫩茄子块配蒜和辣酱	Eggplant, garlic, chili oil, soy sauce, vinegar, sesame oil, scallions	茄子、大蒜、辣油、酱油、醋、麻油、葱	8.99	550e8400-e29b-41d4-a716-446655440004	true	https://images.unsplash.com/photo-1577000522272-dc53aaf41901?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440108	Fried Rice with Shrimp	虾炒饭	Fluffy jasmine rice stir-fried with shrimp, peas, carrots, and scrambled eggs	蓬松的茉莉花米饭与虾、豌豆、胡萝卜和炒鸡蛋炒	Jasmine rice, shrimp, peas, carrots, eggs, soy sauce, sesame oil, garlic, green onions	茉莉花米、虾、豌豆、胡萝卜、鸡蛋、酱油、麻油、大蒜、葱	11.99	550e8400-e29b-41d4-a716-446655440005	true	https://images.unsplash.com/photo-1585238341710-4b2f3c583de1?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440109	Chow Mein	炒面	Crispy noodles stir-fried with chicken, vegetables, and savory sauce	脆面与鸡肉、蔬菜和咸味酱炒	Chow mein noodles, chicken, cabbage, carrots, bell peppers, soy sauce, garlic, sesame oil	炒面、鸡肉、卷心菜、胡萝卜、青椒、酱油、大蒜、麻油	10.99	550e8400-e29b-41d4-a716-446655440005	true	https://images.unsplash.com/photo-1555939594-58d7cb561541?w=500	2026-06-19T00:00:00Z
550e8400-e29b-41d4-a716-446655440110	Orange Chicken	橙子鸡	Crispy chicken in a tangy orange and ginger sauce with a hint of chili	脆鸡配橙子和生姜酱，带一点辣椒	Chicken, orange juice, ginger, garlic, chili peppers, soy sauce, honey, sesame seeds	鸡肉、橙汁、生姜、大蒜、辣椒、酱油、蜂蜜、芝麻	13.99	550e8400-e29b-41d4-a716-446655440002	true	https://images.unsplash.com/photo-1598103442097-8b74394b95c6?w=500	2026-06-19T00:00:00Z
